,0
0,Abyssinian
1,American Bobtail
2,American Curl
3,American Shorthair
4,Applehead Siamese
5,Balinese
6,Bengal
7,Birman
8,Bombay
9,British Shorthair
10,Burmese
11,Calico
12,Chartreux
13,Chausie
14,Cornish Rex
15,Cymric
16,Devon Rex
17,Dilute Calico
18,Dilute Tortoiseshell
19,Domestic Long Hair
20,Domestic Medium Hair
21,Domestic Short Hair
22,Egyptian Mau
23,Exotic Shorthair
24,Extra-Toes Cat - Hemingway Polydactyl
25,Havana
26,Himalayan
27,Japanese Bobtail
28,Javanese
29,Korat
30,LaPerm
31,Maine Coon
32,Manx
33,Munchkin
34,Nebelung
35,Norwegian Forest Cat
36,Ocicat
37,Oriental Long Hair
38,Oriental Short Hair
39,Oriental Tabby
40,Persian
41,Pixiebob
42,Ragamuffin
43,Ragdoll
44,Russian Blue
45,Scottish Fold
46,Selkirk Rex
47,Siamese
48,Siberian
49,Silver
50,Singapura
51,Snowshoe
52,Somali
53,Sphynx - Hairless Cat
54,Tabby
55,Tiger
56,Tonkinese
57,Torbie
58,Tortoiseshell
59,Turkish Angora
60,Turkish Van
61,Tuxedo
62,York Chocolate
